# Spherical Bessel functions via up and down recursion
        x             ans_up             ans_down             rel_diff             log10(x)          log10(rel_diff)            j10(x)
4.9000000000000 3.4040987718087e-04 3.4040987718365e-04 4.0790967607942e-12 6.9019608002851e-01 -1.1389435992604e+01 3.4040987718087e-04 
5.0000000000000 4.0734424424946e-04 4.0734424425252e-04 3.7628881295962e-12 6.9897000433602e-01 -1.1424478693033e+01 4.0734424424946e-04 
5.1000000000000 4.8525075697299e-04 4.8525075697351e-04 5.3467114918912e-13 7.0757017609794e-01 -1.2271913249762e+01 4.8525075697299e-04 
5.2000000000000 5.7554888023789e-04 5.7554888023532e-04 2.2330219020424e-12 7.1600334363480e-01 -1.1651107017238e+01 5.7554888023789e-04 
5.3000000000000 6.7978535981402e-04 6.7978535981763e-04 2.6565758184168e-12 7.2427586960079e-01 -1.1575677784855e+01 6.7978535981402e-04 
5.4000000000000 7.9963839250060e-04 7.9963839249743e-04 1.9878345261955e-12 7.3239375982297e-01 -1.1701619770518e+01 7.9963839250060e-04 
5.5000000000000 9.3692102633858e-04 9.3692102633751e-04 5.6824157194965e-13 7.4036268949424e-01 -1.2245466996928e+01 9.3692102633858e-04 
5.6000000000000 1.0935836701758e-03 1.0935836701753e-03 2.3189344817452e-13 7.4818802700620e-01 -1.2634711521573e+01 1.0935836701758e-03 
5.7000000000000 1.2717155902938e-03 1.2717155902931e-03 2.7349830385669e-13 7.5587485567249e-01 -1.2563045362669e+01 1.2717155902938e-03 
5.8000000000000 1.4735452715423e-03 1.4735452715398e-03 8.5033861866430e-13 7.6342799356294e-01 -1.2070408096718e+01 1.4735452715423e-03 
5.9000000000000 1.7014395215836e-03 1.7014395215827e-03 2.7700231386474e-13 7.7085201164214e-01 -1.2557516603158e+01 1.7014395215836e-03 
6.0000000000000 1.9579011995069e-03 1.9579011995061e-03 1.9569784616964e-13 7.7815125038364e-01 -1.2708413954116e+01 1.9579011995069e-03 
6.1000000000000 2.2455654543141e-03 2.2455654543141e-03 6.5663414608890e-15 7.8532983501077e-01 -1.4182676536970e+01 2.2455654543141e-03 
6.2000000000000 2.5671943646649e-03 2.5671943646655e-03 1.1977267492833e-13 7.9239168949825e-01 -1.2921642251074e+01 2.5671943646649e-03 
6.3000000000000 2.9256698788370e-03 2.9256698788368e-03 3.4241826619717e-14 7.9934054945358e-01 -1.3465443076071e+01 2.9256698788370e-03 
6.4000000000000 3.3239849631502e-03 3.3239849631498e-03 5.6754522088361e-14 8.0617997398389e-01 -1.3245999529029e+01 3.3239849631502e-03 
6.5000000000000 3.7652328781139e-03 3.7652328781141e-03 1.4973446475769e-14 8.1291335664286e-01 -1.3824678225500e+01 3.7652328781140e-03 
6.6000000000000 4.2525945142896e-03 4.2525945142895e-03 1.1217833120243e-14 8.1954393554187e-01 -1.3950091024970e+01 4.2525945142896e-03 
6.7000000000000 4.7893237342706e-03 4.7893237342707e-03 6.5197143271288e-15 8.2607480270083e-01 -1.4185771433236e+01 4.7893237342706e-03 
6.8000000000000 5.3787306832287e-03 5.3787306832286e-03 2.4994943473820e-15 8.3250891270624e-01 -1.4602147841069e+01 5.3787306832287e-03 
6.9000000000000 6.0241630480745e-03 6.0241630480745e-03 7.9189250371651e-16 8.3884909073725e-01 -1.5101333768172e+01 6.0241630480745e-03 
7.0000000000000 6.7289852643458e-03 6.7289852643456e-03 1.1472040976222e-14 8.4509804001426e-01 -1.3940359310446e+01 6.7289852643458e-03 
7.1000000000000 7.4965556903355e-03 7.4965556903357e-03 7.7519915606232e-15 8.5125834871907e-01 -1.4110586708761e+01 7.4965556903355e-03 
